,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
American Restaurants,1.0,0.01338,0.002665,0.011249,0.004025,3.1e-05,0.057931,0.003382,0.015631,0.00472,0.001865,0.000642,0.000257,0.005435,0.013361,0.004557,0.000146,0.007281,0.001119,0.029324,0.000792,0.025729,9.6e-05,0.031942,0.005097,0.001001,0.004745,0.002143,0.000129
Asian Restaurants,0.01338,1.0,0.005113,0.006793,0.003872,8e-05,0.008695,0.004068,0.031426,0.005695,0.001327,0.000932,0.000318,0.012575,0.008198,0.017411,0.000567,0.016185,0.001916,0.012774,0.002285,0.004173,5.8e-05,0.009024,0.008605,0.000515,0.014003,0.010517,0.000319
BBQ Restaurants,0.002665,0.005113,1.0,0.00173,0.002875,0.000132,0.001736,0.002897,0.005184,0.001765,0.001473,0.001033,0.000211,0.001427,0.002828,0.003956,0.000619,0.002965,0.001969,0.002578,0.001324,0.000884,0.000261,0.001951,0.00437,0.001958,0.002886,0.003118,0.000301
Bakeries,0.011249,0.006793,0.00173,1.0,0.001927,1.6e-05,0.006885,0.008915,0.006076,0.010337,0.001168,0.000726,0.000405,0.002323,0.007309,0.002817,0.000124,0.00529,0.001071,0.010048,0.000451,0.004166,4.6e-05,0.010748,0.00358,0.000845,0.003747,0.001837,7.8e-05
Bar Food,0.004025,0.003872,0.002875,0.001927,1.0,8.8e-05,0.002459,0.001978,0.003243,0.001647,0.001327,0.001819,0.000257,0.001541,0.004219,0.003334,0.000338,0.002826,0.002285,0.003581,0.001434,0.001861,0.000262,0.003477,0.003699,0.000711,0.002625,0.001761,0.000145
British Restaurants,3.1e-05,8e-05,0.000132,1.6e-05,8.8e-05,1.0,3.8e-05,0.0,0.000103,0.0,0.0,0.0,0.002093,0.000204,4e-05,0.0,0.0,3.6e-05,9.3e-05,1.7e-05,0.001003,2.3e-05,0.002382,7e-06,2.5e-05,0.0,1.9e-05,3.9e-05,0.0
Burgers,0.057931,0.008695,0.001736,0.006885,0.002459,3.8e-05,1.0,0.002306,0.00905,0.003405,0.00164,0.000318,0.000149,0.00339,0.00738,0.003094,0.000179,0.004065,0.000738,0.015599,0.000895,0.015023,0.000102,0.021928,0.002718,0.00082,0.002754,0.001185,5.8e-05
Cafes,0.003382,0.004068,0.002897,0.008915,0.001978,0.0,0.002306,1.0,0.002667,0.007492,0.000924,0.000964,0.000453,0.001226,0.003076,0.002094,0.000376,0.005309,0.00243,0.004039,0.001107,0.000956,9.4e-05,0.002922,0.003778,0.000723,0.002794,0.002032,0.000142
Chinese Restaurants,0.015631,0.031426,0.005184,0.006076,0.003243,0.000103,0.00905,0.002667,1.0,0.004346,0.00209,0.000642,0.00022,0.012506,0.008191,0.013186,0.000525,0.009359,0.001154,0.01499,0.001309,0.005712,4.2e-05,0.010182,0.007637,0.000581,0.01102,0.009053,0.000274
Coffee Shops,0.00472,0.005695,0.001765,0.010337,0.001647,0.0,0.003405,0.007492,0.004346,1.0,0.001588,0.000743,0.000369,0.001816,0.003428,0.003469,0.000182,0.005875,0.001228,0.005568,0.00068,0.00126,8.6e-05,0.004687,0.002453,0.000244,0.003495,0.002652,0.000163
Diners,0.001865,0.001327,0.001473,0.001168,0.001327,0.0,0.00164,0.000924,0.00209,0.001588,1.0,0.000512,0.000757,0.001354,0.001247,0.001611,0.001531,0.001066,0.000635,0.002082,0.000783,0.000483,0.0,0.001394,0.00131,0.000602,0.001373,0.001007,0.000549
Greek Restaurants,0.000642,0.000932,0.001033,0.000726,0.001819,0.0,0.000318,0.000964,0.000642,0.000743,0.000512,1.0,0.000186,0.000512,0.001772,0.001099,0.000169,0.00186,0.00488,0.000915,0.004643,0.000296,0.0,0.0009,0.001702,6.5e-05,0.00093,0.000622,0.001223
Ice Cream,0.000257,0.000318,0.000211,0.000405,0.000257,0.002093,0.000149,0.000453,0.00022,0.000369,0.000757,0.000186,1.0,0.000292,0.000224,0.000312,0.0,0.00061,0.000255,0.000312,0.000428,6e-05,0.006101,0.000243,0.000144,0.0,0.000183,0.000113,0.000401
Indian Restaurants,0.005435,0.012575,0.001427,0.002323,0.001541,0.000204,0.00339,0.001226,0.012506,0.001816,0.001354,0.000512,0.000292,1.0,0.003587,0.004227,0.000502,0.005308,0.001539,0.003579,0.004729,0.00214,0.000195,0.003302,0.002857,0.000101,0.002998,0.004986,0.000568
Italian Restaurants,0.013361,0.008198,0.002828,0.007309,0.004219,4e-05,0.00738,0.003076,0.008191,0.003428,0.001247,0.001772,0.000224,0.003587,1.0,0.004449,0.00019,0.006242,0.002413,0.012565,0.001069,0.007219,7.1e-05,0.011034,0.00569,0.000995,0.004564,0.002193,0.000271
Japanese Restaurants,0.004557,0.017411,0.003956,0.002817,0.003334,0.0,0.003094,0.002094,0.013186,0.003469,0.001611,0.001099,0.000312,0.004227,0.004449,1.0,0.000946,0.007607,0.002752,0.005681,0.001783,0.001525,5.5e-05,0.003649,0.011034,0.000653,0.026199,0.008569,0.000354
Korean Restaurants,0.000146,0.000567,0.000619,0.000124,0.000338,0.0,0.000179,0.000376,0.000525,0.000182,0.001531,0.000169,0.0,0.000502,0.00019,0.000946,1.0,0.000156,0.00065,0.000159,0.00055,4.7e-05,0.0,0.000112,0.000663,0.0,0.000472,0.000777,0.000332
Latin American Restaurants,0.007281,0.016185,0.002965,0.00529,0.002826,3.6e-05,0.004065,0.005309,0.009359,0.005875,0.001066,0.00186,0.00061,0.005308,0.006242,0.007607,0.000156,1.0,0.00218,0.011186,0.002329,0.001432,6.6e-05,0.004301,0.006249,0.000356,0.007773,0.003696,0.000299
Mediterranean Restaurants,0.001119,0.001916,0.001969,0.001071,0.002285,9.3e-05,0.000738,0.00243,0.001154,0.001228,0.000635,0.00488,0.000255,0.001539,0.002413,0.002752,0.00065,0.00218,1.0,0.001545,0.004705,0.000468,6.7e-05,0.001351,0.002697,0.000688,0.002496,0.001587,0.000531
Mexican Restaurants,0.029324,0.012774,0.002578,0.010048,0.003581,1.7e-05,0.015599,0.004039,0.01499,0.005568,0.002082,0.000915,0.000312,0.003579,0.012565,0.005681,0.000159,0.011186,0.001545,1.0,0.000781,0.010844,1.6e-05,0.019332,0.005883,0.00088,0.007166,0.003063,0.000199
Middle Eastern Restaurants,0.000792,0.002285,0.001324,0.000451,0.001434,0.001003,0.000895,0.001107,0.001309,0.00068,0.000783,0.004643,0.000428,0.004729,0.001069,0.001783,0.00055,0.002329,0.004705,0.000781,1.0,0.000363,0.000525,0.000805,0.001347,8.3e-05,0.001021,0.001466,0.000443
Pizza,0.025729,0.004173,0.000884,0.004166,0.001861,2.3e-05,0.015023,0.000956,0.005712,0.00126,0.000483,0.000296,6e-05,0.00214,0.007219,0.001525,4.7e-05,0.001432,0.000468,0.010844,0.000363,1.0,0.000115,0.017401,0.001512,0.000511,0.001632,0.000674,3.6e-05
Pubs,9.6e-05,5.8e-05,0.000261,4.6e-05,0.000262,0.002382,0.000102,9.4e-05,4.2e-05,8.6e-05,0.0,0.0,0.006101,0.000195,7.1e-05,5.5e-05,0.0,6.6e-05,6.7e-05,1.6e-05,0.000525,0.000115,1.0,3.5e-05,0.000111,0.0,1.7e-05,3.4e-05,0.000355
Sandwiches,0.031942,0.009024,0.001951,0.010748,0.003477,7e-06,0.021928,0.002922,0.010182,0.004687,0.001394,0.0009,0.000243,0.003302,0.011034,0.003649,0.000112,0.004301,0.001351,0.019332,0.000805,0.017401,3.5e-05,1.0,0.003836,0.000708,0.003906,0.001608,0.000137
Seafood Restaurants,0.005097,0.008605,0.00437,0.00358,0.003699,2.5e-05,0.002718,0.003778,0.007637,0.002453,0.00131,0.001702,0.000144,0.002857,0.00569,0.011034,0.000663,0.006249,0.002697,0.005883,0.001347,0.001512,0.000111,0.003836,1.0,0.001916,0.010166,0.005049,0.000703
Steakhouse,0.001001,0.000515,0.001958,0.000845,0.000711,0.0,0.00082,0.000723,0.000581,0.000244,0.000602,6.5e-05,0.0,0.000101,0.000995,0.000653,0.0,0.000356,0.000688,0.00088,8.3e-05,0.000511,0.0,0.000708,0.001916,1.0,0.000464,0.000192,8e-05
Sushi,0.004745,0.014003,0.002886,0.003747,0.002625,1.9e-05,0.002754,0.002794,0.01102,0.003495,0.001373,0.00093,0.000183,0.002998,0.004564,0.026199,0.000472,0.007773,0.002496,0.007166,0.001021,0.001632,1.7e-05,0.003906,0.010166,0.000464,1.0,0.006824,0.00048
Thai Restaurants,0.002143,0.010517,0.003118,0.001837,0.001761,3.9e-05,0.001185,0.002032,0.009053,0.002652,0.001007,0.000622,0.000113,0.004986,0.002193,0.008569,0.000777,0.003696,0.001587,0.003063,0.001466,0.000674,3.4e-05,0.001608,0.005049,0.000192,0.006824,1.0,0.000538
Vegetarian Restaurants,0.000129,0.000319,0.000301,7.8e-05,0.000145,0.0,5.8e-05,0.000142,0.000274,0.000163,0.000549,0.001223,0.000401,0.000568,0.000271,0.000354,0.000332,0.000299,0.000531,0.000199,0.000443,3.6e-05,0.000355,0.000137,0.000703,8e-05,0.00048,0.000538,1.0
